File,aid,Date,0,2,3,5,8,17,21,25,65,69,73,81,85,89,129,133,137,145,149,153,197,213
QC_Night_2003176_aid0001,aid0001,2003-06-25,3916314,3177170,67228,,736.0,603531,,1.0,1180990,,747.0,173349,,1.0,5005,,,6570,,,,
QC_Night_2003177_aid0001,aid0001,2003-06-26,3911533,3340092,67228,,668.0,658209,,1.0,969046,,335.0,164755,,,11774,,5.0,7996,,,,
QC_Night_2003178_aid0001,aid0001,2003-06-27,4368522,2958048,67228,,443.0,612787,,,985882,,292.0,126662,,,3486,,1.0,8291,,,,
QC_Night_2003179_aid0001,aid0001,2003-06-28,3869344,3470944,67228,,708.0,534953,,,1024907,,293.0,146251,,1.0,1681,,3.0,15329,,,,
QC_Night_2003180_aid0001,aid0001,2003-06-29,3556971,3619285,67228,,522.0,601292,,,1108587,,214.0,160070,,,7532,,,9941,,,,
QC_Night_2003181_aid0001,aid0001,2003-06-30,3426911,3945655,67228,,248.0,543672,,,1004218,,57.0,135032,,1.0,464,,,8156,,,,
QC_Night_2003182_aid0001,aid0001,2003-07-01,4377305,2854899,67228,,284.0,711049,,,976581,,183.0,122107,,,7646,,6.0,14354,,,,
QC_Night_2003183_aid0001,aid0001,2003-07-02,4817626,2325309,67228,,186.0,702940,,10.0,1038382,,113.0,152858,,3.0,17741,,,9246,,,,
QC_Night_2003184_aid0001,aid0001,2003-07-03,4820456,2221599,67228,,653.0,721110,,,1152172,,481.0,127857,,,10428,,,9658,,,,
QC_Night_2003185_aid0001,aid0001,2003-07-04,5058482,2045050,67228,,137.0,727331,,,1064787,,169.0,124881,,,40707,,,2870,,,,
QC_Night_2003186_aid0001,aid0001,2003-07-05,4488711,2965910,67228,,125.0,647163,,9.0,783405,,63.0,148867,,,8740,,,21421,,,,
QC_Night_2003187_aid0001,aid0001,2003-07-06,3660785,3644434,67228,,93.0,604683,,,999879,,200.0,134312,,,13528,,5.0,6495,,,,
QC_Night_2003188_aid0001,aid0001,2003-07-07,3298214,3936900,67228,,289.0,562557,,6.0,1139217,,258.0,112364,,,4349,,,10260,,,,
QC_Night_2003189_aid0001,aid0001,2003-07-08,3078570,4170252,67228,,511.0,634759,,10.0,1076599,,371.0,83514,,3.0,13131,,24.0,6670,,,,
QC_Night_2003190_aid0001,aid0001,2003-07-09,3965186,3292784,67228,,703.0,762506,,59.0,956459,,245.0,69031,,3.0,13282,,23.0,4133,,,,
QC_Night_2003191_aid0001,aid0001,2003-07-10,4093965,3410909,67228,,210.0,819144,,,681130,,326.0,45333,,,9207,,20.0,4170,,,,
QC_Night_2003192_aid0001,aid0001,2003-07-11,4654629,2621085,67228,,547.0,610785,,115.0,1022543,,284.0,137413,,,3719,,,13294,,,,
QC_Night_2003193_aid0001,aid0001,2003-07-12,4773782,2407450,67228,,737.0,503126,,3.0,1134359,,533.0,201632,,1.0,14987,,23.0,27781,,,,
QC_Night_2003194_aid0001,aid0001,2003-07-13,4733168,2397762,67228,,834.0,412494,,35.0,1291596,,188.0,196376,,1.0,18090,,,13870,,,,
QC_Night_2003195_aid0001,aid0001,2003-07-14,4300458,3042887,67228,,426.0,533629,,4.0,946119,,190.0,209912,,2.0,4557,,,26230,,,,
QC_Night_2003196_aid0001,aid0001,2003-07-15,5072590,2365921,67228,,794.0,487199,,9.0,960087,,81.0,158458,,,6285,,,12990,,,,
QC_Night_2003197_aid0001,aid0001,2003-07-16,3403694,3988901,67228,,117.0,370688,,,1059975,,92.0,199319,,,30382,,9.0,11237,,,,
QC_Night_2003198_aid0001,aid0001,2003-07-17,3791775,3424090,67228,,143.0,247262,,3.0,1324940,,398.0,217339,,,35317,,4.0,23143,,,,
QC_Night_2003199_aid0001,aid0001,2003-07-18,3699217,3886200,67228,,650.0,250126,,,1012218,,244.0,191574,,,16783,,14.0,7388,,,,
QC_Night_2003200_aid0001,aid0001,2003-07-19,3780985,3487127,67228,,327.0,337625,,7.0,1235524,,251.0,180769,,5.0,20872,,12.0,20910,,,,
QC_Night_2003201_aid0001,aid0001,2003-07-20,3775104,3187368,67228,,630.0,479184,,1.0,1394174,,214.0,187536,,2.0,29879,,,10322,,,,
QC_Night_2003202_aid0001,aid0001,2003-07-21,4107489,3482287,67228,,321.0,351079,,,938365,,227.0,168772,,3.0,9284,,5.0,6582,,,,
QC_Night_2003203_aid0001,aid0001,2003-07-22,3780333,3652424,67228,,315.0,282024,,2.0,1104679,,270.0,169695,,1.0,62104,,19.0,12548,,,,
QC_Night_2003204_aid0001,aid0001,2003-07-23,3921715,3858420,67228,,175.0,226496,,,885720,,179.0,155760,,,1431,,4.0,14513,,1.0,,
QC_Night_2003205_aid0001,aid0001,2003-07-24,3888405,3624405,67228,,384.0,161129,,3.0,1158484,,69.0,178282,,4.0,16221,,,37028,,,,
QC_Night_2003206_aid0001,aid0001,2003-07-25,3856016,3374267,67228,,509.0,317866,,1.0,1292086,,137.0,179156,,5.0,34729,,14.0,9628,,,,
QC_Night_2003207_aid0001,aid0001,2003-07-26,3362365,3773875,67228,,548.0,325835,,7.0,1359969,,238.0,178964,,2.0,39979,,8.0,22624,,,,
QC_Night_2003208_aid0001,aid0001,2003-07-27,3656145,4020175,67228,,311.0,248581,,5.0,988559,,214.0,134970,,,10911,,,4543,,,,
QC_Night_2003209_aid0001,aid0001,2003-07-28,3568322,4043986,67228,,484.0,188210,,1.0,1123275,,252.0,117718,,2.0,16015,,10.0,6139,,,,
QC_Night_2003210_aid0001,aid0001,2003-07-29,4250941,3130127,67228,,489.0,262171,,4.0,1216579,,118.0,155782,,1.0,36524,,,11678,,,,
QC_Night_2003211_aid0001,aid0001,2003-07-30,4036797,3624171,67228,,338.0,217808,,,974831,,400.0,192317,,9.0,9226,,5.0,8512,,,,
QC_Night_2003212_aid0001,aid0001,2003-07-31,3310039,4205573,67228,,248.0,128152,,3.0,1250427,,152.0,136481,,,25565,,9.0,7765,,,,
QC_Night_2003213_aid0001,aid0001,2003-08-01,3034292,4558849,67228,,188.0,149114,,1.0,1163607,,168.0,145019,,1.0,5628,,6.0,7541,,,,
QC_Night_2003214_aid0001,aid0001,2003-08-02,2666730,4811285,67228,,456.0,160588,,6.0,1172413,,320.0,220195,,12.0,20584,,16.0,11809,,,,
QC_Night_2003215_aid0001,aid0001,2003-08-03,2188206,5179552,67228,,252.0,427410,,1.0,1116392,,283.0,125634,,2.0,10056,,,16626,,,,
QC_Night_2003216_aid0001,aid0001,2003-08-04,2661383,4431220,67228,,1191.0,600708,,24.0,1189636,,357.0,158365,,25.0,14772,,6.0,6727,,,,
QC_Night_2003217_aid0001,aid0001,2003-08-05,2943641,4195527,67228,,505.0,667488,,6.0,1079228,,263.0,128939,,,38354,,,10463,,,,
QC_Night_2003218_aid0001,aid0001,2003-08-06,2813359,4446016,67228,,207.0,237435,,7.0,1319304,,396.0,209146,,4.0,5403,,2.0,33135,,,,
